epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,2324.98,0.61272,0.39659,0.8636,0.76678,0.71321,0.76073,0.47504,1.24753,0.96386,1.1298,6.88058e-05,6.88058e-05,6.88058e-05
141,2341.22,0.62357,0.39754,0.8533,0.72264,0.76103,0.7593,0.47401,1.24877,0.95512,1.12941,6.3308e-05,6.3308e-05,6.3308e-05
142,2357.45,0.59059,0.3771,0.83855,0.75058,0.72538,0.7676,0.4791,1.24257,0.9432,1.13043,5.78102e-05,5.78102e-05,5.78102e-05
143,2373.74,0.58453,0.35857,0.84606,0.79022,0.69186,0.7678,0.4773,1.2416,0.96297,1.12821,5.23124e-05,5.23124e-05,5.23124e-05
144,2390.03,0.58541,0.35986,0.8418,0.78675,0.69719,0.7684,0.48103,1.22833,0.9703,1.11859,4.68146e-05,4.68146e-05,4.68146e-05
145,2406.18,0.58805,0.36133,0.84494,0.80793,0.70389,0.77288,0.48305,1.22586,0.95361,1.1197,4.13168e-05,4.13168e-05,4.13168e-05
146,2422.17,0.57654,0.35704,0.8495,0.80833,0.6946,0.76651,0.48581,1.22896,0.95366,1.12217,3.5819e-05,3.5819e-05,3.5819e-05
147,2438.21,0.57658,0.35336,0.85026,0.81101,0.70206,0.77948,0.48582,1.22601,0.9452,1.12278,3.03212e-05,3.03212e-05,3.03212e-05
148,2454.33,0.55162,0.34141,0.8416,0.78876,0.70229,0.76687,0.48365,1.22961,0.95039,1.12367,2.48234e-05,2.48234e-05,2.48234e-05
149,2470.42,0.55826,0.34055,0.8394,0.78753,0.7035,0.76467,0.47958,1.24151,0.95837,1.12656,1.93256e-05,1.93256e-05,1.93256e-05
150,2486.5,0.55493,0.33881,0.83715,0.80232,0.70178,0.767,0.48331,1.23958,0.9561,1.12483,1.38278e-05,1.38278e-05,1.38278e-05
